Date,LTC.open,LTC.close,LTC.high,LTC.low,LTC.volume
2019-07-13 19:00:00,100.39,100.34,100.94,99.795,1636.18754519
2019-07-13 19:30:00,100.32,101.16,101.33,100.3,1415.30004632
2019-07-13 20:00:00,101.09,100.58,101.22,100.43,493.31061788
2019-07-13 20:30:00,100.48,98.288,100.49,97.57,11963.04045832
2019-07-13 21:00:00,98.294,98.393,98.891,97.27,5944.73124279
2019-07-13 21:30:00,98.393,98.902,98.906,98.095,601.04228296
2019-07-13 22:00:00,98.926,100.63,101.55,98.73,5335.85935171
2019-07-13 22:30:00,100.58,100.04,100.69,99.721,5095.1256480600005
2019-07-13 23:00:00,100.11,100.19,100.74,99.86,812.18980279
2019-07-13 23:30:00,100.18,100.7,100.93,100.14,1483.36776816
2019-07-14 00:00:00,100.7,100.54,101.24,100.06,2140.17230625
2019-07-14 00:30:00,100.37,100.5,100.9,100.21,654.52050948
2019-07-14 01:00:00,100.46,100.74,100.95,99.856,1005.96659957
2019-07-14 01:30:00,100.83,101.05,101.5,100.48,1031.42662591
2019-07-14 02:00:00,101.08,100.76,101.47,100.76,323.06177823
2019-07-14 02:30:00,100.77,100.5,100.9,100.48,545.69356234
2019-07-14 03:00:00,100.5,100.2,100.79,100.09,495.53171948
2019-07-14 03:30:00,100.13,100.75,100.88,100.0,818.88970593
2019-07-14 04:00:00,100.65,100.3,100.92,100.25,245.95272882
2019-07-14 04:30:00,100.18,99.386,100.22,99.0,2984.82930654
2019-07-14 05:00:00,99.408,99.962,100.07,99.36,1286.7779062
2019-07-14 05:30:00,99.986,100.1,100.16,99.434,544.65211343
2019-07-14 06:00:00,100.13,100.45,100.48,100.13,141.55187405
2019-07-14 06:30:00,100.41,100.2,100.41,100.18,77.82635575
2019-07-14 07:00:00,100.15,99.609,100.15,99.367,799.27411838
2019-07-14 07:30:00,99.579,99.676,99.913,99.265,945.40375739
2019-07-14 08:00:00,99.425,99.23,99.484,98.98,885.20948174
2019-07-14 08:30:00,99.3,97.425,99.822,97.01,22100.19443883
2019-07-14 09:00:00,97.527,98.929,99.32,97.424,2570.87000807
2019-07-14 09:30:00,99.092,93.374,99.215,91.46,22270.29965434
2019-07-14 10:00:00,93.526,93.239,94.347,92.681,12024.79877007
2019-07-14 10:30:00,93.239,93.33,93.849,91.985,4442.10675265
2019-07-14 11:00:00,93.33,93.498,94.252,93.242,3470.29064353
2019-07-14 11:30:00,93.628,93.319,93.94,92.006,3844.87143288
2019-07-14 12:00:00,93.325,92.721,93.879,91.802,5164.74680428
2019-07-14 12:30:00,92.884,93.331,93.646,92.12,2810.88652363
2019-07-14 13:00:00,93.345,93.416,94.005,93.012,2495.18306407
2019-07-14 13:30:00,93.276,92.781,93.534,91.603,5483.74028888
2019-07-14 14:00:00,92.514,92.781,92.958,91.06,4323.67757588
2019-07-14 14:30:00,92.864,91.042,92.864,90.84,2770.28987062
2019-07-14 15:00:00,91.081,91.298,92.319,89.55,20033.85690781
2019-07-14 15:30:00,91.42,89.851,91.66,87.51,17048.99038726
2019-07-14 16:00:00,89.731,88.578,90.751,88.241,7613.97322675
2019-07-14 16:30:00,88.543,90.873,91.457,88.533,5385.44007542
2019-07-14 17:00:00,90.814,91.066,91.744,90.282,2318.22141433
2019-07-14 17:30:00,91.198,90.5,91.198,90.38,3844.06128042
2019-07-14 18:00:00,90.5,89.683,90.949,89.22,8118.17680674
2019-07-14 18:30:00,89.606,89.197,89.669,88.01,6646.22574853
2019-07-14 19:00:00,89.326,88.881,89.766,88.359,1411.10576174
2019-07-14 19:30:00,88.764,89.365,89.365,88.4,1406.95623333
2019-07-14 20:00:00,89.301,89.453,89.773,88.529,1938.5491598
2019-07-14 20:30:00,89.365,90.46,91.342,89.227,3608.94816822
2019-07-14 21:00:00,90.404,90.77,90.806,90.194,842.00659392
2019-07-14 21:30:00,90.771,92.729,93.171,90.771,2151.62550714
2019-07-14 22:00:00,92.738,93.031,93.168,92.4,2077.75349138
2019-07-14 22:30:00,93.108,91.239,93.248,91.128,2267.40651099
2019-07-14 23:00:00,91.236,90.889,91.581,90.313,2278.9044257
2019-07-14 23:30:00,90.889,89.866,91.678,88.204,8557.43790827
2019-07-15 00:00:00,89.675,85.526,89.966,85.37,19978.81171359
2019-07-15 00:30:00,85.509,87.368,88.992,84.922,23008.10345292
2019-07-15 01:00:00,87.279,88.514,88.674,87.2,3321.1925058799998
2019-07-15 01:30:00,88.492,87.343,88.565,87.114,2046.16117677
2019-07-15 02:00:00,87.356,87.021,87.446,84.838,7266.15377077
2019-07-15 02:30:00,86.787,88.267,88.4,86.595,3316.0241416
2019-07-15 03:00:00,88.457,89.5,89.996,87.848,8560.80836853
2019-07-15 03:30:00,89.558,89.381,89.933,88.781,2520.71214935
2019-07-15 04:00:00,89.298,88.679,89.883,88.448,1224.13075257
2019-07-15 04:30:00,88.659,88.123,88.891,88.035,590.95252948
2019-07-15 05:00:00,88.137,88.361,88.426,87.401,2574.80423247
2019-07-15 05:30:00,88.399,88.011,88.521,87.74,581.08185569
2019-07-15 06:00:00,88.203,87.108,88.239,85.725,6752.29791512
2019-07-15 06:30:00,87.056,87.618,87.964,86.685,1777.52554687
2019-07-15 07:00:00,87.665,88.483,88.801,87.665,1500.16035237
2019-07-15 07:30:00,88.483,89.075,89.38,88.483,1224.9216622
2019-07-15 08:00:00,89.213,87.982,89.213,87.277,7714.27462627
2019-07-15 08:30:00,88.02,87.781,88.404,87.263,3871.7718348
2019-07-15 09:00:00,87.773,88.145,88.339,86.55,1718.2997345
2019-07-15 09:30:00,88.235,88.764,89.224,87.849,3774.133032
2019-07-15 10:00:00,88.861,88.316,89.38,87.999,1718.52293773
2019-07-15 10:30:00,88.326,88.229,88.7,87.806,1293.98951024
2019-07-15 11:00:00,88.096,88.755,89.034,87.995,883.91356384
2019-07-15 11:30:00,88.901,88.504,89.085,88.5,718.27631205
2019-07-15 12:00:00,88.743,87.534,88.774,87.534,1225.77443807
2019-07-15 12:30:00,87.506,86.599,87.79,86.293,3322.12715142
2019-07-15 13:00:00,86.546,87.197,87.558,86.351,4695.52332403
2019-07-15 13:30:00,87.331,88.518,88.698,87.059,3260.9691524200002
2019-07-15 14:00:00,88.7,91.443,91.563,88.7,6825.90123574
2019-07-15 14:30:00,91.479,91.082,91.479,90.401,2326.15015726
2019-07-15 15:00:00,91.025,90.479,91.195,89.708,1890.38410861
2019-07-15 15:30:00,90.363,91.475,91.88,90.183,4871.86808915
2019-07-15 16:00:00,91.506,91.2,92.791,90.217,4078.58948861
2019-07-15 16:30:00,91.2,92.205,92.271,90.923,2147.14361851
2019-07-15 17:00:00,92.236,91.237,92.302,91.181,944.49693968
2019-07-15 17:30:00,91.214,90.14,91.54,90.0,4049.09998115
2019-07-15 18:00:00,90.013,91.489,92.123,88.354,8479.3949077
2019-07-15 18:30:00,91.61,91.994,92.389,91.203,3959.47496726
2019-07-15 19:00:00,92.132,92.11,92.385,90.999,3115.7952271599997
2019-07-15 19:30:00,91.848,91.659,91.979,91.378,548.74539125
2019-07-15 20:00:00,91.62,91.179,91.873,91.083,1293.66589196
2019-07-15 20:30:00,91.184,90.785,91.184,90.228,1009.44115547
2019-07-15 21:00:00,90.954,91.1,91.261,90.34,1054.01606809
2019-07-15 21:30:00,91.1,90.137,91.183,90.087,1268.59543817
2019-07-15 22:00:00,90.267,90.799,91.066,90.267,284.37313754
2019-07-15 22:30:00,90.708,91.406,91.753,90.708,863.99841148
2019-07-15 23:00:00,91.354,90.619,91.88,90.617,2067.24855789
2019-07-15 23:30:00,90.626,90.1,90.668,90.041,602.77777963
2019-07-16 00:00:00,90.25,90.254,90.579,90.023,375.63252206
2019-07-16 00:30:00,90.656,90.834,90.875,90.559,83.14997771
2019-07-16 01:00:00,90.871,90.715,91.586,90.701,2017.01496025
2019-07-16 01:30:00,90.733,90.81,90.9,90.55,214.03070321
2019-07-16 02:00:00,90.728,89.467,90.745,89.1,3579.95999883
2019-07-16 02:30:00,89.48,88.649,89.617,88.055,1955.9439268200001
2019-07-16 03:00:00,88.673,89.191,89.35,88.625,329.1779906
